type,game_id,team_home,team_away,schedule_week,schedule_season,state_of_game,game_url,home_score,away_score
reg,2012091609,STL,WAS,2,2012,POST,http://www.nfl.com/liveupdate/game-center/2012091609/2012091609_gtd.json,31,28
reg,2012091608,SEA,DAL,2,2012,POST,http://www.nfl.com/liveupdate/game-center/2012091608/2012091608_gtd.json,27,7
reg,2012091610,PIT,NYJ,2,2012,POST,http://www.nfl.com/liveupdate/game-center/2012091610/2012091610_gtd.json,27,10
reg,2012091611,SD,TEN,2,2012,POST,http://www.nfl.com/liveupdate/game-center/2012091611/2012091611_gtd.json,38,10
reg,2012091613,SF,DET,2,2012,POST,http://www.nfl.com/liveupdate/game-center/2012091613/2012091613_gtd.json,27,19
reg,2012091700,ATL,DEN,2,2012,POST,http://www.nfl.com/liveupdate/game-center/2012091700/2012091700_gtd.json,27,21
reg,2012092000,CAR,NYG,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092000/2012092000_gtd.json,7,36
reg,2012092300,DAL,TB,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092300/2012092300_gtd.json,16,10
reg,2012092308,IND,JAC,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092308/2012092308_gtd.json,17,22
reg,2012092307,CLE,BUF,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092307/2012092307_gtd.json,14,24
reg,2012092306,MIA,NYJ,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092306/2012092306_gtd.json,20,23
reg,2012092305,NO,KC,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092305/2012092305_gtd.json,24,27
reg,2012092304,WAS,CIN,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092304/2012092304_gtd.json,31,38
reg,2012092301,CHI,STL,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092301/2012092301_gtd.json,23,6
reg,2012092302,MIN,SF,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092302/2012092302_gtd.json,24,13
reg,2012092303,TEN,DET,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092303/2012092303_gtd.json,44,41
reg,2012092310,SD,ATL,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092310/2012092310_gtd.json,3,27
reg,2012092309,ARI,PHI,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092309/2012092309_gtd.json,27,6
reg,2012092312,OAK,PIT,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092312/2012092312_gtd.json,34,31
reg,2012092311,DEN,HOU,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092311/2012092311_gtd.json,25,31
reg,2012092313,BAL,NE,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092313/2012092313_gtd.json,31,30
reg,2012092400,SEA,GB,3,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092400/2012092400_gtd.json,14,12
reg,2012092700,BAL,CLE,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012092700/2012092700_gtd.json,23,16
reg,2012093000,BUF,NE,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012093000/2012093000_gtd.json,28,52
reg,2012093006,NYJ,SF,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012093006/2012093006_gtd.json,0,34
reg,2012093005,STL,SEA,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012093005/2012093005_gtd.json,19,13
reg,2012093004,ATL,CAR,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012093004/2012093004_gtd.json,30,28
reg,2012093003,DET,MIN,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012093003/2012093003_gtd.json,13,20
reg,2012093002,KC,SD,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012093002/2012093002_gtd.json,20,37
reg,2012093001,HOU,TEN,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012093001/2012093001_gtd.json,38,14
reg,2012093009,JAC,CIN,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012093009/2012093009_gtd.json,10,27
reg,2012093008,DEN,OAK,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012093008/2012093008_gtd.json,37,6
reg,2012093007,ARI,MIA,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012093007/2012093007_gtd.json,24,21
reg,2012093011,TB,WAS,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012093011/2012093011_gtd.json,22,24
reg,2012093010,GB,NO,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012093010/2012093010_gtd.json,28,27
reg,2012093012,PHI,NYG,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012093012/2012093012_gtd.json,19,17
reg,2012100100,DAL,CHI,4,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100100/2012100100_gtd.json,18,34
reg,2012100400,STL,ARI,5,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100400/2012100400_gtd.json,17,3
reg,2012100701,PIT,PHI,5,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100701/2012100701_gtd.json,16,14
reg,2012100702,IND,GB,5,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100702/2012100702_gtd.json,30,27
reg,2012100703,NYG,CLE,5,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100703/2012100703_gtd.json,41,27
reg,2012100700,WAS,ATL,5,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100700/2012100700_gtd.json,17,24
