schedule_season,team_home,off_rate,def_rate,overall_rate,sched_strength,first_downs,first_downs_from_penalties,fumbles,interceptions,margin_of_victory,pass_attempts,pass_completions,pass_first_downs,pass_touchdowns,pass_yards,penalties,plays,points_against,points_contributed_by_offense,points_difference,points_for,rank,rush_attempts,rush_first_downs,rush_touchdowns,rush_yards,turnovers,yards,yards_from_penalties,yards_per_play
2012,GNB,4.9,2.4,7.3,1.2,341,43,8,8,6.1,558,374,213,40,4049,103,1042,336,25.77,97,433,5,433,85,9,1702,16,5751,923,5.5
2012,NYG,4.0,2.2,6.2,0.9,327,37,6,15,5.3,539,323,187,26,3825,72,968,344,-14.71,85,429,6,409,103,18,1862,21,5687,578,5.9
2012,ATL,2.0,4.5,6.4,-1.1,343,26,4,14,7.5,615,422,247,32,4509,55,1021,299,-18.12,120,419,7,378,70,12,1397,18,5906,415,5.8
2012,HTX,1.8,1.7,3.5,-1.8,341,22,4,13,5.3,554,354,205,22,3830,108,1090,331,-20.08,85,416,8,508,114,19,2123,17,5953,873,5.5
2012,SEA,4.5,7.7,12.2,1.8,311,29,8,10,10.4,405,259,153,27,3031,110,974,245,9.07,167,412,9,536,129,16,2579,18,5610,890,5.8
2012,RAV,1.9,1.0,2.9,-0.5,314,34,5,11,3.4,560,334,182,22,3739,121,1042,344,22.03,54,398,10,444,98,17,1901,16,5640,1127,5.4
2012,SFO,3.5,6.7,10.2,2.5,322,22,8,8,7.8,436,289,172,23,3298,109,969,273,-15.31,124,397,11,492,128,17,2491,16,5789,960,6.0
2012,CIN,1.2,0.9,2.1,-2.4,292,24,10,16,4.4,540,335,173,28,3578,99,1016,320,-90.48,71,391,12,430,95,11,1745,26,5323,857,5.2
2012,TAM,1.3,-1.3,0.0,0.3,301,24,6,17,-0.3,566,311,188,27,3983,101,1008,394,-32.9,-5,389,13,416,89,13,1837,23,5820,819,5.8
2012,MIN,1.6,1.8,3.4,1.4,306,30,11,12,1.9,483,300,163,18,2751,90,1001,348,-59.9,31,379,14,486,113,16,2634,23,5385,830,5.4
2012,DAL,1.4,-1.2,0.3,1.8,338,25,10,19,-1.5,658,434,237,29,4729,117,1049,400,-39.11,-24,376,15,355,76,8,1265,29,5994,853,5.7
2012,CHI,1.0,6.0,6.9,0.8,292,30,8,16,6.1,485,287,163,21,2999,102,999,277,-115.17,98,375,16,470,99,11,1970,24,4969,811,5.0
2012,DET,2.1,-4.4,-2.3,1.8,382,26,16,17,-4.1,740,445,272,22,4927,103,1160,437,-59.66,-65,372,17,391,84,17,1613,33,6540,944,5.6
2012,CAR,-0.5,1.3,0.8,1.2,328,34,10,12,-0.4,490,284,171,19,3683,98,988,363,2.08,-6,357,18,462,123,21,2088,22,5771,835,5.8
2012,CLT,-1.9,-2.8,-4.7,-2.8,360,42,9,18,-1.9,628,339,208,23,4128,94,1109,387,-73.11,-30,357,19,440,110,11,1671,27,5799,801,5.2
2012,SDG,-2.0,-0.4,-2.3,-2.3,293,28,11,15,0.0,528,338,184,26,3295,103,988,350,-125.47,0,350,20,411,81,4,1461,26,4756,796,4.8
2012,BUF,-0.9,-5.8,-6.7,-1.0,301,22,17,17,-5.7,511,309,176,24,3269,104,983,435,-100.38,-91,344,21,442,103,12,2217,34,5486,871,5.6
2012,PIT,-2.8,2.1,-0.7,-2.0,307,25,16,14,1.4,574,354,202,27,3787,92,1023,314,-108.05,22,336,22,412,80,8,1537,30,5324,938,5.2
2012,OTI,-2.6,-7.4,-10.0,-1.2,260,24,12,16,-8.8,540,318,166,17,3323,106,957,471,-109.54,-141,330,23,378,70,10,1687,28,5010,847,5.2
2012,CLE,-4.6,-0.7,-5.3,-1.2,279,23,8,18,-4.1,566,328,185,16,3435,113,998,368,-139.68,-66,302,24,396,71,12,1593,26,5028,1005,5.0
2012,RAM,-2.1,2.4,0.4,3.4,287,19,8,14,-3.1,557,332,189,22,3550,130,1002,348,-136.28,-49,299,25,410,79,5,1714,22,5264,978,5.3
2012,RAI,-4.6,-6.2,-10.8,-1.3,300,28,10,16,-9.6,629,376,200,24,4084,108,1032,443,-118.39,-153,290,26,376,72,4,1420,26,5504,939,5.3
2012,MIA,-5.5,2.9,-2.6,-0.8,288,37,13,13,-1.8,504,293,158,13,3182,82,981,317,-88.66,-29,288,27,440,93,15,1802,26,4984,724,5.1
2012,NYJ,-5.1,-0.9,-5.9,0.0,299,35,18,19,-5.9,493,272,162,14,2891,83,1034,375,-166.55,-94,281,28,494,102,12,1896,37,4787,708,4.6
2012,PHI,-5.3,-3.6,-8.9,1.4,332,31,22,15,-10.3,618,367,190,18,3791,98,1079,444,-174.47,-164,280,29,413,111,10,1874,37,5665,813,5.3
